n_hop,hop_sizes,node_limit,nm_walk_hops,checkpoint_step,order,rung,n_sources,test_graph,test_canonical,auc,entry_rung,rel_to_entry,in_training,added,sources,model_prefix,model_status,eval_run
2,"9,9",101,1,40000,A,4,4,covid19_twitter,covid,0.976840920019157,2,2,1,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_08_05
2,"9,9",101,1,40000,A,4,4,midterm,midterm,0.9108899937579823,3,1,1,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_midterm_nm_3shot_30way_01_08_2026_23_15_46
2,"9,9",101,1,40000,A,4,4,covid_political,covid-political,0.9083534875798212,4,0,1,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_covid_political_nm_3shot_30way_01_08_2026_23_19_01
2,"9,9",101,1,40000,A,4,4,election2020,election2020-political,0.8199114735632183,5,-1,0,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_election2020_nm_3shot_30way_01_08_2026_23_22_07
2,"9,9",101,1,40000,A,4,4,ukr_rus_suspended,ukraine-suspended,0.8166782873563216,6,-2,0,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_06
2,"9,9",101,1,40000,A,4,4,twibot20,twibot20,0.9163527072477652,7,-3,0,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_twibot20_nm_3shot_30way_01_08_2026_23_23_52
2,"9,9",101,1,40000,A,4,4,cp_hk_twitter,hongkong,0.7153107176724138,8,-4,0,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_27_14
2,"9,9",101,1,40000,A,5,5,ukr_rus_twitter,ukraine,0.9336371248243933,1,4,1,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_05_31
2,"9,9",101,1,40000,A,5,5,covid19_twitter,covid,0.9761545111590038,2,3,1,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_11_36
2,"9,9",101,1,40000,A,5,5,midterm,midterm,0.9067991943805875,3,2,1,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_midterm_nm_3shot_30way_01_08_2026_23_17_24
2,"9,9",101,1,40000,A,5,5,covid_political,covid-political,0.9067995949712645,4,1,1,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_covid_political_nm_3shot_30way_01_08_2026_23_20_32
2,"9,9",101,1,40000,A,5,5,election2020,election2020-political,0.9253379241379309,5,0,1,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_election2020_nm_3shot_30way_01_08_2026_23_22_30
2,"9,9",101,1,40000,A,5,5,ukr_rus_suspended,ukraine-suspended,0.809074135632184,6,-1,0,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_18
2,"9,9",101,1,40000,A,5,5,twibot20,twibot20,0.9173226020114942,7,-2,0,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_twibot20_nm_3shot_30way_01_08_2026_23_25_22
2,"9,9",101,1,40000,A,5,5,cp_hk_twitter,hongkong,0.7124168926724138,8,-3,0,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,eval_nm_ladder_h2m_ordA_r5_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_27_49
2,"9,9",101,1,40000,A,6,6,ukr_rus_twitter,ukraine,0.9331358480204344,1,5,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_05_31
2,"9,9",101,1,40000,A,6,6,covid19_twitter,covid,0.9754197576149425,2,4,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_11_35
2,"9,9",101,1,40000,A,6,6,midterm,midterm,0.9089622940613028,3,3,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_midterm_nm_3shot_30way_01_08_2026_23_17_24
2,"9,9",101,1,40000,A,6,6,covid_political,covid-political,0.9065252294061301,4,2,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_covid_political_nm_3shot_30way_01_08_2026_23_20_34
2,"9,9",101,1,40000,A,6,6,election2020,election2020-political,0.9222346390804598,5,1,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_election2020_nm_3shot_30way_01_08_2026_23_22_37
2,"9,9",101,1,40000,A,6,6,ukr_rus_suspended,ukraine-suspended,0.948558816091954,6,0,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_28
2,"9,9",101,1,40000,A,6,6,twibot20,twibot20,0.9182446615421457,7,-1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_twibot20_nm_3shot_30way_01_08_2026_23_25_31
2,"9,9",101,1,40000,A,6,6,cp_hk_twitter,hongkong,0.7137720829022989,8,-2,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,eval_nm_ladder_h2m_ordA_r6_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_28_00
2,"9,9",101,1,40000,A,7,7,ukr_rus_twitter,ukraine,0.9328238347381866,1,6,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_05_31
2,"9,9",101,1,40000,A,7,7,covid19_twitter,covid,0.9757576965197956,2,5,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_11_35
2,"9,9",101,1,40000,A,7,7,midterm,midterm,0.9057646379948916,3,4,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_midterm_nm_3shot_30way_01_08_2026_23_17_24
2,"9,9",101,1,40000,A,7,7,covid_political,covid-political,0.9055715784482758,4,3,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_covid_political_nm_3shot_30way_01_08_2026_23_20_34
2,"9,9",101,1,40000,A,7,7,election2020,election2020-political,0.9201477379310343,5,2,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_election2020_nm_3shot_30way_01_08_2026_23_22_38
2,"9,9",101,1,40000,A,7,7,ukr_rus_suspended,ukraine-suspended,0.9446788735632182,6,1,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_29
2,"9,9",101,1,40000,A,7,7,twibot20,twibot20,0.9340944227809704,7,0,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_twibot20_nm_3shot_30way_01_08_2026_23_25_34
2,"9,9",101,1,40000,A,7,7,cp_hk_twitter,hongkong,0.716914198275862,8,-1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,eval_nm_ladder_h2m_ordA_r7_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_28_05
2,"9,9",101,1,40000,A,8,8,ukr_rus_twitter,ukraine,0.9324729616698594,1,7,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_05_31
2,"9,9",101,1,40000,A,8,8,covid19_twitter,covid,0.9749378347860793,2,6,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_11_36
2,"9,9",101,1,40000,A,8,8,midterm,midterm,0.9078855820561941,3,5,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_midterm_nm_3shot_30way_01_08_2026_23_17_23
2,"9,9",101,1,40000,A,8,8,covid_political,covid-political,0.9031215206577268,4,4,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_covid_political_nm_3shot_30way_01_08_2026_23_20_35
2,"9,9",101,1,40000,A,8,8,election2020,election2020-political,0.9131006781609194,5,3,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_election2020_nm_3shot_30way_01_08_2026_23_22_38
2,"9,9",101,1,40000,A,8,8,ukr_rus_suspended,ukraine-suspended,0.9429612045977012,6,2,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_29
2,"9,9",101,1,40000,A,8,8,twibot20,twibot20,0.9333026728448277,7,1,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_twibot20_nm_3shot_30way_01_08_2026_23_25_34
2,"9,9",101,1,40000,A,8,8,cp_hk_twitter,hongkong,0.8710099974137931,8,0,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,eval_nm_ladder_h2m_ordA_r8_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_28_06
