architecture,model_id,sources,seed,checkpoint_step,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1,best_included_specialist,residual,absolute_error,target_in_sources
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49542236328125,0.48828125,0.4425531914893617,0.551513671875,-0.05609130859375,0.05609130859375,False
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6228266821967231,0.5338541666666666,0.676164631388512,0.7134075164794922,-0.09058083428276908,0.09058083428276908,False
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6578747784649883,0.6279296875,0.4681247091670544,0.8650509869610822,-0.20717620849609386,0.20717620849609386,True
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.511474609375,0.53125,0.6341463414634146,0.98468017578125,-0.47320556640625,0.47320556640625,True
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.47662353515625,0.484375,0.4,0.551513671875,-0.07489013671875,0.07489013671875,False
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6713782416449653,0.6380208333333334,0.7051961823966065,0.7134075164794922,-0.0420292748345269,0.0420292748345269,False
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6169184932002316,0.654296875,0.3959044368600682,0.8650509869610822,-0.24813249376085056,0.24813249376085056,True
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5147705078125,0.49609375,0.5095057034220533,0.98468017578125,-0.46990966796875,0.46990966796875,True
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.476806640625,0.46484375,0.4017467248908297,0.551513671875,-0.07470703125,0.07470703125,True
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6840858459472656,0.6494140625,0.7194581922375619,0.7134075164794922,-0.029321670532226562,0.029321670532226562,False
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6184805410879629,0.6611328125,0.4006908462867012,0.8650509869610822,-0.24657044587311927,0.24657044587311927,True
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.6102294921875,0.54296875,0.6377708978328174,0.98468017578125,-0.37445068359375,0.37445068359375,True
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.490478515625,0.5,0.4710743801652892,0.551513671875,-0.06103515625,0.06103515625,True
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6417744954427084,0.5891927083333334,0.6857569721115537,0.7134075164794922,-0.07163302103678382,0.07163302103678382,True
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6496514214409722,0.6770833333333334,0.4464285714285714,0.8650509869610822,-0.21539956552010997,0.21539956552010997,True
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.52056884765625,0.515625,0.5407407407407407,0.98468017578125,-0.464111328125,0.464111328125,True
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.48126220703125,0.4765625,0.4369747899159664,0.551513671875,-0.07025146484375,0.07025146484375,True
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.675248040093316,0.6399739583333334,0.7092534174553102,0.7134075164794922,-0.03815947638617623,0.03815947638617623,True
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.557586669921875,0.6809895833333334,0.2507645259938837,0.8650509869610822,-0.3074643170392072,0.3074643170392072,True
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.54034423828125,0.5390625,0.549618320610687,0.98468017578125,-0.4443359375,0.4443359375,True
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4935302734375,0.48828125,0.5056603773584906,0.551513671875,-0.0579833984375,0.0579833984375,True
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6513676113552518,0.625,0.7032457496136012,0.7134075164794922,-0.0620399051242404,0.0620399051242404,True
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6016967208297165,0.6673177083333334,0.3539823008849557,0.6178054809570312,-0.01610876012731477,0.01610876012731477,False
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.514404296875,0.51171875,0.5318352059925093,0.50830078125,0.006103515625,0.006103515625,True
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.489013671875,0.4921875,0.4583333333333333,0.51092529296875,-0.02191162109375,0.02191162109375,True
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.7039142184787327,0.6634114583333334,0.7238247863247863,0.6999549865722656,0.003959231906467076,0.003959231906467076,False
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5553447582103588,0.6145833333333334,0.3234285714285714,0.6267875388816552,-0.07144278067129639,0.07144278067129639,False
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.541015625,0.54296875,0.5517241379310345,0.5313720703125,0.0096435546875,0.0096435546875,True
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.497802734375,0.515625,0.4608695652173913,0.51092529296875,-0.01312255859375,0.01312255859375,True
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.657215330335829,0.6080729166666666,0.700199203187251,0.6999549865722656,-0.04273965623643661,0.04273965623643661,False
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5848931206597222,0.6119791666666666,0.3759162303664921,0.6267875388816552,-0.04189441822193296,0.04189441822193296,False
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5108642578125,0.5078125,0.5,0.5313720703125,-0.0205078125,0.0205078125,True
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.488525390625,0.4921875,0.4715447154471545,0.51092529296875,-0.02239990234375,0.02239990234375,True
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6710925632052951,0.6442057291666666,0.714695901853302,0.6999549865722656,-0.028862423366970535,0.028862423366970535,False
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5675882410120081,0.6598307291666666,0.2924847664184157,0.6267875388816552,-0.05919929786964706,0.05919929786964706,False
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.51995849609375,0.5234375,0.512,0.5313720703125,-0.01141357421875,0.01141357421875,True
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49432373046875,0.49609375,0.473469387755102,0.51092529296875,-0.0166015625,0.0166015625,True
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6743715074327257,0.6246744791666666,0.7108101329320291,0.6999549865722656,-0.025583479139539955,0.025583479139539955,False
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5167646054868344,0.6419270833333334,0.2486338797814207,0.8650509869610822,-0.34828638147424773,0.34828638147424773,True
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.507568359375,0.5,0.5362318840579711,0.98468017578125,-0.47711181640625,0.47711181640625,True
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4913330078125,0.484375,0.5111111111111111,0.51092529296875,-0.01959228515625,0.01959228515625,True
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.62497435675727,0.5843098958333334,0.6844576229305659,0.7134075164794922,-0.08843315972222221,0.08843315972222221,False
prodigy,ordB_r7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.538807056568287,0.6748046875,0.2090261282660332,0.8650509869610822,-0.3262439303927952,0.3262439303927952,True
prodigy,ordB_r7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.521728515625,0.5234375,0.5734265734265734,0.98468017578125,-0.46295166015625,0.46295166015625,True
prodigy,ordB_r7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49493408203125,0.49609375,0.5132075471698113,0.551513671875,-0.05657958984375,0.05657958984375,True
prodigy,ordB_r7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6383758121066623,0.5185546875,0.6705279572287814,0.7134075164794922,-0.07503170437282991,0.07503170437282991,False
prodigy,ordB_r8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.577847233525029,0.5999348958333334,0.3661681279009799,0.8650509869610822,-0.2872037534360532,0.2872037534360532,True
prodigy,ordB_r8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.50506591796875,0.50390625,0.4940239043824701,0.98468017578125,-0.4796142578125,0.4796142578125,True
prodigy,ordB_r8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.47613525390625,0.48828125,0.4279475982532751,0.551513671875,-0.07537841796875,0.07537841796875,True
prodigy,ordB_r8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6659295823838975,0.5686848958333334,0.6857955892814798,0.7134075164794922,-0.04747793409559464,0.04747793409559464,False
prodigy,ordC_r2,"twibot20,midterm",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.704167401349103,0.6735026041666666,0.5066404328578455,0.7366796422887731,-0.03251224093967009,0.03251224093967009,False
prodigy,ordC_r2,"twibot20,midterm",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.92266845703125,0.80859375,0.8304498269896193,0.705322265625,0.21734619140625,0.21734619140625,False
prodigy,ordC_r2,"twibot20,midterm",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.494384765625,0.484375,0.4310344827586206,0.49755859375,-0.003173828125,0.003173828125,False
prodigy,ordC_r2,"twibot20,midterm",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6745855543348523,0.6240234375,0.6945252578682888,0.6917220221625434,-0.01713646782769107,0.01713646782769107,True
prodigy,ordC_r3,"twibot20,midterm,covid",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6516333685980903,0.5322265625,0.4436701509872242,0.7366796422887731,-0.08504627369068285,0.08504627369068285,False
prodigy,ordC_r3,"twibot20,midterm,covid",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.79388427734375,0.60546875,0.7154929577464789,0.705322265625,0.08856201171875,0.08856201171875,False
prodigy,ordC_r3,"twibot20,midterm,covid",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49761962890625,0.4921875,0.4090909090909091,0.551513671875,-0.05389404296875,0.05389404296875,False
prodigy,ordC_r3,"twibot20,midterm,covid",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.605561786227756,0.59375,0.6776859504132231,0.6917220221625434,-0.08616023593478739,0.08616023593478739,True
prodigy,ordC_r4,"twibot20,midterm,covid,covid_political",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.699066162109375,0.6116536458333334,0.4846652267818574,0.8650509869610822,-0.16598482485170718,0.16598482485170718,True
prodigy,ordC_r4,"twibot20,midterm,covid,covid_political",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.649169921875,0.5234375,0.6720430107526881,0.98468017578125,-0.33551025390625,0.33551025390625,False
prodigy,ordC_r4,"twibot20,midterm,covid,covid_political",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4835205078125,0.46875,0.4333333333333333,0.551513671875,-0.0679931640625,0.0679931640625,False
prodigy,ordC_r4,"twibot20,midterm,covid,covid_political",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6741176181369359,0.6318359375,0.7156147850138295,0.7134075164794922,-0.03928989834255625,0.03928989834255625,True
prodigy,ordC_r5,"twibot20,midterm,covid,covid_political,cp_hk",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6263913755063658,0.6165364583333334,0.4208456243854473,0.8650509869610822,-0.23865961145471637,0.23865961145471637,True
prodigy,ordC_r5,"twibot20,midterm,covid,covid_political,cp_hk",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5560302734375,0.51171875,0.5173745173745173,0.98468017578125,-0.42864990234375,0.42864990234375,False
prodigy,ordC_r5,"twibot20,midterm,covid,covid_political,cp_hk",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.47698974609375,0.49609375,0.3707317073170731,0.551513671875,-0.07452392578125,0.07452392578125,False
prodigy,ordC_r5,"twibot20,midterm,covid,covid_political,cp_hk",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5912560356987847,0.5094401041666666,0.6581991381265593,0.7134075164794922,-0.12215148078070748,0.12215148078070748,True
prodigy,ordC_r6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6256092212818286,0.6959635416666666,0.3495821727019498,0.8650509869610822,-0.23944176567925357,0.23944176567925357,True
prodigy,ordC_r6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.6224365234375,0.5859375,0.6044776119402985,0.98468017578125,-0.36224365234375,0.36224365234375,False
prodigy,ordC_r6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49072265625,0.49609375,0.4980544747081712,0.551513671875,-0.060791015625,0.060791015625,False
prodigy,ordC_r6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6348188188340929,0.5696614583333334,0.6843361986628462,0.7134075164794922,-0.07858869764539933,0.07858869764539933,True
prodigy,ordC_r7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.525462962962963,0.6715494791666666,0.2291825821237585,0.8650509869610822,-0.33958802399811916,0.33958802399811916,True
prodigy,ordC_r7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5091552734375,0.48828125,0.4072398190045249,0.98468017578125,-0.47552490234375,0.47552490234375,False
prodigy,ordC_r7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.50006103515625,0.51171875,0.5519713261648745,0.551513671875,-0.05145263671875,0.05145263671875,False
prodigy,ordC_r7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6130360497368708,0.5699869791666666,0.6748707851341373,0.7134075164794922,-0.10037146674262143,0.10037146674262143,True
prodigy,ordC_r8,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus,election2020",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5588831018518519,0.6070963541666666,0.3283249860879243,0.8650509869610822,-0.3061678851092303,0.3061678851092303,True
