order,rung,n_sources,sources,target,mixture_auc,best_constituent_source,best_constituent_auc,mixture_minus_best_constituent
C,2,2,election2020 covid_political,ukr_rus_twitter,0.6479949551245211,covid_political,0.6301,0.017894955124521106
C,2,2,election2020 covid_political,twibot20,0.7747346551564493,covid_political,0.7374,0.03733465515644929
C,2,2,election2020 covid_political,midterm,0.7521999042943807,covid_political,0.6878,0.0643999042943807
C,2,2,election2020 covid_political,ukr_rus_suspended,0.579886075862069,election2020,0.5627,0.017186075862068995
C,2,2,election2020 covid_political,cp_hk_twitter,0.5653788771551724,election2020,0.5475,0.017878877155172446
C,3,3,election2020 covid_political cp_hk,covid19_twitter,0.832790019476373,cp_hk_twitter,0.7579,0.07489001947637297
C,3,3,election2020 covid_political cp_hk,ukr_rus_twitter,0.7467859874361431,cp_hk_twitter,0.6808,0.06598598743614315
C,3,3,election2020 covid_political cp_hk,twibot20,0.8181850680555556,cp_hk_twitter,0.7378,0.08038506805555556
C,3,3,election2020 covid_political cp_hk,midterm,0.8069119819604087,cp_hk_twitter,0.7629,0.044011981960408675
C,3,3,election2020 covid_political cp_hk,ukr_rus_suspended,0.6518217747126436,cp_hk_twitter,0.6025,0.04932177471264354
C,4,4,election2020 covid_political cp_hk ukr_rus_suspended,covid19_twitter,0.8927544834610472,ukr_rus_suspended,0.8307,0.06205448346104725
C,4,4,election2020 covid_political cp_hk ukr_rus_suspended,ukr_rus_twitter,0.8250104927522349,ukr_rus_suspended,0.7695,0.05551049275223496
C,4,4,election2020 covid_political cp_hk ukr_rus_suspended,twibot20,0.8540511916028097,ukr_rus_suspended,0.7647,0.08935119160280969
C,4,4,election2020 covid_political cp_hk ukr_rus_suspended,midterm,0.8213368669859517,cp_hk_twitter,0.7629,0.05843686698595163
C,5,5,election2020 covid_political cp_hk ukr_rus_suspended midterm,covid19_twitter,0.9308379506226054,midterm,0.879,0.05183795062260543
C,5,5,election2020 covid_political cp_hk ukr_rus_suspended midterm,ukr_rus_twitter,0.8651577229885058,midterm,0.797,0.06815772298850575
C,5,5,election2020 covid_political cp_hk ukr_rus_suspended midterm,twibot20,0.8906968706577267,midterm,0.8613,0.02939687065772678
C,6,6,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,covid19_twitter,0.9559441030970623,twibot20,0.9473,0.008644103097062317
C,6,6,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,ukr_rus_twitter,0.8894939903256703,twibot20,0.8688,0.02069399032567032
C,7,7,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20 ukr_rus,covid19_twitter,0.968881610823755,ukr_rus_twitter,0.973,-0.004118389176244963
