model_id	checkpoint	sources	training_seed	checkpoint_step	training_revision	checkpoint_sha256
nmi_baseline_r4_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r4_s1_20260908_132652_003/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	bfbdd03f595902de08f69562a067c3224497985bc7b85ce280a6b82f1002935d
nmi_baseline_r4_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r4_s2_20260908_132652_051/checkpoint/state_dict_6000.ckpt	ukr_rus,covid,midterm,covid_political	2	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	205d99d5a5595fc3295ffeb623832dec2018a79ba23bbd09ffa4fc8f9b2b08a7
nmi_baseline_r5_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r5_s0_20260904_023439_085/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	8f880a0ddfbe9155907763996a921259d72897029c2eb4fcccb1a966851023fe
nmi_baseline_r5_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r5_s1_20260908_132652_004/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	1157891be21d09ad2adaf8bb4f55c3f1c7ff6a1f7da5378d6af5dd980fbaa478
nmi_baseline_r5_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r5_s2_20260908_132652_052/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	104349972ab224e5f1eb837530c96711dc31874ac2feae006447bc88de145bcb
nmi_baseline_r6_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r6_s0_20260904_023439_102/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	56109d60d907cd0162dfee6998f89ce7f0ca13ca302f3b6a3ffde9f2f5b74a7d
nmi_baseline_r6_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r6_s1_20260908_132652_005/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	430bb1a1ad7d77109934e8476e427e68740469a340d83a07fffce6f00a582c5f
nmi_baseline_r6_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r6_s2_20260908_132652_053/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	e8c7ea7f981b3c3d5ea5031e4b9a86ea92149fc8e4f517958d81abcf4a1cf7fd
nmi_baseline_r7_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r7_s0_20260904_023439_119/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	b8283a4aa837bddd1ffb4d5c10eb8db7015f8268eefd1136c5ac6457e173465a
nmi_baseline_r7_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r7_s1_20260908_132652_006/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	a3c39519cf1a6c7e9a7f6ce69281eea9ef006003527dd16d86e5dde81ce86697
nmi_baseline_r7_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r7_s2_20260908_132652_054/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	a3c302f2a820c727a8caa75f6ef683f5d4857eb2b2811925c4467f08c9eaaf18
nmi_baseline_r8_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r8_s0_20260904_023439_000/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	eb4c9a91cb401b60ed9feea45c82adb8bca84094ce7afb27be81da8963cad2d7
nmi_baseline_r8_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r8_s1_20260908_132652_007/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	04f460fd149c33a6a823ff6d0731430d0e680d11585a3110cbe40ec116bb0fc1
nmi_baseline_r8_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r8_s2_20260908_132652_055/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	81c701ceaa57dbd2559c62a0779046320b350913e00a8288f45ee63516b56e8c
nmi_composition_r1_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r1_s0_20260904_023439_020/checkpoint/state_dict_8000.ckpt	ukr_rus	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	da16ae7403bac360e27c3c704a1d06d006cbb3641db99e58eed8bacfaee6344e
nmi_composition_r1_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r1_s1_20260908_132652_032/checkpoint/state_dict_6000.ckpt	ukr_rus	1	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	84f60b5e96b9aed5042d7cdf26d4f7fab05c74aebce02b4b24c351d854996895
nmi_composition_r1_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r1_s2_20260908_132652_080/checkpoint/state_dict_8000.ckpt	ukr_rus	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	9ecb6138928f88a9a92e3c37e6e96ced463612f832b2480228ae838822569520
nmi_composition_r2_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r2_s0_20260904_023439_037/checkpoint/state_dict_10000.ckpt	ukr_rus,covid	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	815afc11024996fe4a424626b36a3c7f45b06764837211b95ff0b00d68334706
nmi_composition_r2_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r2_s1_20260908_132652_033/checkpoint/state_dict_6000.ckpt	ukr_rus,covid	1	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	6f4590a54bdbc2d8b57ac5a2f3e8a3729ee1038abe81d045107b6811d8bbf6a1
nmi_composition_r2_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r2_s2_20260908_132652_081/checkpoint/state_dict_8000.ckpt	ukr_rus,covid	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	ae055710cabedd4f82c59913f6ed6a138aebda91acee8b24cd96ea089e89e4c1
nmi_composition_r3_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r3_s0_20260904_023439_054/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	5a6faba71b795cc253120db8c17f92e6d19e75a61337c940cba25fd171babd8e
nmi_composition_r3_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r3_s1_20260908_132652_034/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	9fecdf7362176cddd694bac894ff6d9b7987ce5677889bc09de300095c2495bf
nmi_composition_r3_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r3_s2_20260908_132652_082/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	e246682295a9ec8c5352b7b9d13628d0850112e1e4f49403689929f568ec2c3e
nmi_composition_r4_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r4_s0_20260904_023439_071/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	cdba11bb90373bbbc658a171cdbf30ccb8ea601e2d085c980bdd6ccad7b1557d
nmi_composition_r4_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r4_s1_20260908_132652_035/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	4039c22103a58aee7c56f3090ff3c428b9b6d60917fa5b0770e3b76e974cca3d
nmi_composition_r4_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r4_s2_20260908_132652_083/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	e566df55a0229a6a08da796693c425130bf55d259ee0d770537184d20fd0c65a
nmi_composition_r5_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r5_s0_20260904_023439_088/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	4ab2d1ea3b1e4548f0de1fd68aab8610a5c4e6a6764f18dcfab4283e7cf7a884
nmi_composition_r5_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r5_s1_20260908_132652_036/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	18ce23afef95b4c1decc95003f35a4e69c854b1c7d86169dcbb5a2877ef4c541
nmi_composition_r5_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r5_s2_20260908_132652_084/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	eac46630d0c900a34b5dd4479ebf9b6bff7fb7898aea1ceb9a63046b263c8c40
nmi_composition_r6_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r6_s0_20260904_023439_105/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	0756425cc8b3fcde042d2890d897970653025f5929ae97367301b145c785a28c
nmi_composition_r6_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r6_s1_20260908_132652_037/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	d0f06d154e844a303ea9061a673ba7940b08a833b442617cdbe77c038630dc5e
nmi_composition_r6_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r6_s2_20260908_132652_085/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	dffda679fefcfc993bb3f2a796a36caf45f02fc5753a446be16b4401734f985c
nmi_composition_r7_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r7_s0_20260904_023439_122/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	7d6319d69d144686e918a6bfc2e1db56e86a18e87b21172b3c0288dc01443ef1
nmi_composition_r7_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r7_s1_20260908_132652_038/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	705ee5053d397ee2af5da2639189d7e2984cc580f05b25fd65dac4f6ce118dd7
nmi_composition_r7_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r7_s2_20260908_132652_086/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	152abdaa3d1ed3652ae456d14a71316d376bd08e8886e323e258159ce179aa97
nmi_composition_r8_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_composition_r8_s0_20260904_023439_003/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	3217c6f6df72bbcb5da1e09d25ea7782bae13f297b2a02695171a7d457d73402
nmi_composition_r8_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r8_s1_20260908_132652_039/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	edb0a20f360dc6d7e171464c966e4a4f5b4606f915d7f87974c368d5ab04a9d0
nmi_composition_r8_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_composition_r8_s2_20260908_132652_087/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	14df715e109b67b9a333f402ffd5030ee147d3adf356df317504f48cc6eebda5
nmi_exposure_r1_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r1_s0_20260904_023439_018/checkpoint/state_dict_10000.ckpt	ukr_rus	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	936e3810b0c02e4c1b52514265431b4c71bcf2bae098cf27a8e3804520926104
nmi_exposure_r1_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r1_s1_20260908_132652_016/checkpoint/state_dict_10000.ckpt	ukr_rus	1	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	2e620cc4fcee6e9bf114e523aad7cf94637920d1a4165adce5a17b3792463fda
nmi_exposure_r1_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r1_s2_20260908_132652_064/checkpoint/state_dict_10000.ckpt	ukr_rus	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	1d041f1d66fd492d55db5d2ae42a107f10d0e3f041240b1c7f3ef202c3d9e5f0
nmi_exposure_r2_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r2_s0_20260904_023439_035/checkpoint/state_dict_10000.ckpt	ukr_rus,covid	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	c8d8078c12a41fa59cc00833b2e76b40e9509baa15bf625421715f85a1d1dc29
nmi_exposure_r2_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r2_s1_20260908_132652_017/checkpoint/state_dict_8000.ckpt	ukr_rus,covid	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	4c946c6f51aa949941624006554863b91711508c77caa2d846b896f8518a2ca8
nmi_exposure_r2_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r2_s2_20260908_132652_065/checkpoint/state_dict_8000.ckpt	ukr_rus,covid	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	fda1ec5b394888ceb33452250e2894aa08480d14cbe614ff9f2ce2969bf5e248
nmi_exposure_r3_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r3_s0_20260904_023439_052/checkpoint/state_dict_6000.ckpt	ukr_rus,covid,midterm	0	6000	6260524ef6a5833ea1628712e901904db5fb5b75	cd073db3e1dfc6e657685a70c23460c982ba7a840c1c7e05b248a1a8e1930fd9
nmi_exposure_r3_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r3_s1_20260908_132652_018/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	93320bc13a10a6a85e4a0914dbe4e8a860c61b48e7a15bc05fa4cb9f55d91fda
nmi_exposure_r3_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r3_s2_20260908_132652_066/checkpoint/state_dict_4000.ckpt	ukr_rus,covid,midterm	2	4000	f6593005900fead88a6a339d4c6f0e6e8ab68438	48d77ef5ab4c29542cbaf882da98e02dd8223a98add13c9aa01b9a14fd0265c0
nmi_exposure_r4_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r4_s0_20260904_023439_069/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	842e8af6f344ecae69a3e1b5003495824d842b496a7b0860a5f5e0a229e2aa92
nmi_exposure_r4_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r4_s1_20260908_132652_019/checkpoint/state_dict_4000.ckpt	ukr_rus,covid,midterm,covid_political	1	4000	f6593005900fead88a6a339d4c6f0e6e8ab68438	b3cd64018f1caa03490eaa79086fa491cc45add77f0ca76a80dc55dcf31c95b4
nmi_exposure_r4_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r4_s2_20260908_132652_067/checkpoint/state_dict_6000.ckpt	ukr_rus,covid,midterm,covid_political	2	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	e60f6f0d828292994dddc431909851b73ac73e05c08815bbb42a6ad722c13e2d
nmi_exposure_r5_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r5_s0_20260904_023439_086/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	9f1144eb689847de4be05569898722a3439738d8d2cd9f477735f26e35896830
nmi_exposure_r5_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r5_s1_20260908_132652_020/checkpoint/state_dict_6000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	1	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	869ca85a62b9310a4d8e745e48a4c4286c4ce419b2b8b60bfe96b522f71f7b99
nmi_exposure_r5_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r5_s2_20260908_132652_068/checkpoint/state_dict_4000.ckpt	ukr_rus,covid,midterm,covid_political,election2020	2	4000	f6593005900fead88a6a339d4c6f0e6e8ab68438	460f2bc979136d40ce8cd87905d88371724fbff62a94295937fdb3d0dc57d673
nmi_exposure_r6_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r6_s0_20260904_023439_103/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	77da73ef4c7f4a7a4a41c5728a5355dc3a93ed108be9d529df217d299f727e2c
nmi_exposure_r6_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r6_s1_20260908_132652_021/checkpoint/state_dict_6000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	1	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	cbd9539f2aa345d8b3fcd2f4da95e5f281a8bbe2116aad7ba891aee3eaac54b2
nmi_exposure_r6_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_exposure_r6_s2_20260908_132652_069/checkpoint/state_dict_4000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	2	4000	f6593005900fead88a6a339d4c6f0e6e8ab68438	164e59be922539232301c5939f1054e1d2fcfae33c3866ba77ed68b50eaaf0b7
nmi_exposure_r7_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_exposure_r7_s0_20260904_023439_120/checkpoint/state_dict_8000.ckpt	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk	0	8000	6260524ef6a5833ea1628712e901904db5fb5b75	590e3501baaddad2a14cb2dc0bd1655cec851ad11760ca070667caa44a106351
